Genus,SpeciesName,Species,Museum,MusID,Sex,Locomotion,FemurHead,NSA,Neck,L2,L4,FTA,PS,PI,AS,AI,TotalArea,SUP,ANT,AcetabDiameter,PelvicBreadth,Abduction,AbductedKnee
Cercopithecus,mitis,Cercopithecus_mitis,USNM,452546,2,Non,13.924,100.511,10.359,133.992,12.13,60.413,111.873737,59.306576,120.376837,107.385676,398.942826,114.207,101.822,14.707,30.542,38.807,122.662
Cercopithecus,mitis,Cercopithecus_mitis,USNM,452557,2,Non,12.754,90.246,11.5,133.972,10.429,58.605,97.597376,37.725936,99.951086,73.333661,308.608059,124.72,101.989,14.433,28.907,32.006,110.111
Colobus,guereza,Colobus_guereza,USNM,452619,1,Non,17.595,109.559,14.912,180.101,16.649,67.79,167.919,97.122,159.951,139.874,564.866,109.118,93.875,19.575,39.992,33.159,152.12
Colobus,guereza,Colobus_guereza,USNM,452620,1,Non,15.578,102.301,15.009,180.453,10.488,74.674,136.78,80.034,138,105,459.814,113.011,93.152,16.728,37.29,26.877,133.145
Colobus,guereza,Colobus_guereza,USNM,452617,2,Non,18.157,98.363,12.612,191.102,14.456,63.478,175,84.506,175.782,150.581,585.869,115.322,100.929,19.308,37.419,25.873,134.699
Colobus,guereza,Colobus_guereza,USNM,452632,2,Non,16.072,99.36,11.758,179.245,12.267,63.302,141.048,62.342,149.791,113.303,466.484,118.997,102.452,18.129,33.39,37.848,151.343
Colobus,guereza,Colobus_guereza,KNM,om3085,2,Non,17.142,107.841,14.179,181.828,13.376,69.382,158.4211,81.305461,166.928656,135.966336,542.621553,116.172,99.879,17.82,35.835,38.766,159.648
Erythrocebus,patas,Erythrocebus_patas,AMNH,34712,1,Non,17.014,107.683,14.744,178.738,18.438,64.434,182.203,114.749,162.48578,136.744,596.18178,108.907,93.072,18.416,35.731,19.194,117.11
Erythrocebus,patas,Erythrocebus_patas,USNM,238072,1,Non,17.751,95.027,17.009,183.877,18.42,62.566,178.683,83.834,177.761,134.433,574.711,119.146,98.848,18.919,37.768,17.644,117.113
Erythrocebus,patas,Erythrocebus_patas,USNM,399317,1,Non,18.769,107.317,17.062,200.178,22.08,64.411,198.067,93.456,192.536,153.013,637.072,110.924,102.093,20.877,45.406,29.574,161.702
Erythrocebus,patas,Erythrocebus_patas,USNM,257013,2,Non,15.166,95.724,14.801,154.51,11.365,67.298,130.155,66.569,150.885,119.746,467.355,120.268,105.269,16.238,31.925,33.85,130.263
